  -0.24779,  -0.16783,   0.72707,  -0.18975
  -0.31324,   0.06746,   0.33483,   0.19842
  -0.79548,  -0.13190,  -0.45326,   0.04459
   0.21039,   0.70874,   0.19348,   0.11845
   0.03459,   0.16207,  -0.16248,  -0.32817
  -0.01790,  -0.14010,  -0.24815,   0.25916
  -0.51142,   0.85232,  -1.14471,   0.40140
  -0.61809,  -0.01666,   0.57923,   0.36001
  -0.39805,  -0.36019,   0.58877,  -0.02324
  -0.01305,   0.60740,   0.24651,  -0.42851
  -0.33997,  -0.68691,  -0.37442,   0.42037
  -0.10765,   0.48765,  -0.07184,  -0.02561
  -0.38467,  -0.45759,  -0.44621,  -0.22974
  -0.61375,  -0.35113,   0.03352,   0.16646
  -0.11088,  -0.79625,  -0.21207,  -0.12625
  -0.12026,   0.29457,  -0.30142,   0.12903
  -0.19471,  -0.56289,  -0.24240,  -0.88056
   0.22619,   1.18774,  -0.11437,  -0.03354
   0.01070,   0.06838,   0.09067,  -0.01262
   0.13729,  -0.14748,  -0.07252,   0.05693
  -0.03027,  -0.89718,  -0.92563,  -0.42818
  -0.05091,  -0.15803,   0.00228,   0.29181
   0.11354,   0.29187,  -0.84575,  -0.14510
  -0.46433,   0.21456,   0.66703,  -0.02313
  -0.08172,   0.43493,  -0.60294,  -0.28488
  -0.13718,  -0.19327,   0.46249,   0.29876
   0.07285,  -0.29812,  -0.26111,   0.32769
  -0.29958,  -0.22283,  -0.19378,  -0.17080
   0.01955,  -1.01636,   0.71515,  -0.53479
  -0.01982,   0.23644,   0.00410,   0.07050
  -0.20854,   0.66979,  -0.06855,   0.23268
  -0.77515,  -0.02393,   0.13872,   0.32370
  -0.60031,  -1.42963,   0.05492,  -0.02845
  -0.33480,  -1.42776,   0.00532,  -0.20107
  -0.04415,  -0.45533,  -0.51409,   0.37110
  -0.21834,  -0.52691,   0.18713,  -0.93298
  -0.90376,   0.28557,   0.43054,   0.40594
   0.17178,  -0.23323,   0.42231,  -0.42657
  -0.15049,  -0.68406,  -0.18164,   0.09184
  -0.20366,  -0.39354,  -0.24883,  -0.41928
  -0.26605,  -0.40583,  -0.05626,   0.22604
  -0.36939,  -0.77272,  -0.62063,  -0.17138
   0.28553,   0.05207,  -0.54452,  -0.49714
   0.10452,  -0.39460,   0.24324,  -0.69772
  -0.48982,  -0.53652,  -0.01724,  -0.31428
  -0.46136,  -0.05061,  -0.29469,  -0.38425
   0.07231,   0.02803,   0.02457,  -0.44829
  -0.52278,   0.96080,   0.53650,  -0.39627
  -0.13025,  -0.03838,  -0.49217,  -0.41989
  -0.38547,  -0.76854,  -0.26059,  -0.48434
  -0.09277,  -0.14270,  -0.44071,  -0.29593
  -0.39177,  -0.58485,   0.20365,   0.28060
   0.05081,   0.32256,   0.44701,  -0.50808
  -0.08963,  -0.26169,  -0.70080,   0.37636
   0.00411,   0.57751,  -0.18550,  -0.03607
  -0.87398,   0.42378,  -0.20799,  -0.21940
  -0.47424,   0.36604,   0.05760,   0.45535
  -0.48604,  -0.61373,  -0.25779,   0.66714
  -0.31959,  -0.91143,   0.43484,   0.38106
  -0.34826,  -1.09493,   0.18992,  -0.27331
   0.02488,  -0.09903,   0.35961,   0.07799
   0.60247,  -0.43532,  -1.08272,   0.45252
  -0.11257,   0.31660,  -0.55202,  -0.45020
