   0.99933,   0.00000,   0.00000,   0.00067,   0.04816,   0.61229,   0.00068,   0.33887,   0.00182,   0.19536,   0.00000,   0.80281,   0.00000,   0.00276,   0.00000,   0.99724
   0.00000,   0.99986,   0.00012,   0.00002,   0.98705,   0.00232,   0.00000,   0.01063,   0.00000,   0.99956,   0.00001,   0.00044,   0.00004,   0.51663,   0.00184,   0.48150
   0.00000,   0.06607,   0.93393,   0.00001,   0.98818,   0.00005,   0.00230,   0.00947,   0.00271,   0.35866,   0.23858,   0.40005,   0.15752,   0.40539,   0.41261,   0.02448
   0.00000,   0.00000,   0.00000,   1.00000,   0.00000,   0.99742,   0.00222,   0.00036,   0.68645,   0.00005,   0.00001,   0.31349,   0.01956,   0.18694,   0.60735,   0.18616
   0.00038,   0.00493,   0.03725,   0.95743,   0.99968,   0.00000,   0.00001,   0.00031,   0.07158,   0.59079,   0.00219,   0.33544,   0.02430,   0.50143,   0.00132,   0.47295
   0.00000,   0.00000,   0.00000,   1.00000,   0.00000,   1.00000,   0.00000,   0.00000,   0.00006,   0.99777,   0.00000,   0.00216,   0.00009,   0.74556,   0.00017,   0.25419
   0.00000,   0.01432,   0.00004,   0.98564,   0.00003,   0.99663,   0.00007,   0.00327,   0.00000,   0.98144,   0.01616,   0.00240,   0.33920,   0.44535,   0.00458,   0.21086
   0.00001,   0.76986,   0.00109,   0.22904,   0.00004,   0.29600,   0.03853,   0.66544,   0.00000,   0.99960,   0.00035,   0.00004,   0.00345,   0.67706,   0.02623,   0.29326
   0.95464,   0.00117,   0.00000,   0.04419,   0.12308,   0.84248,   0.00014,   0.03430,   0.00110,   0.99885,   0.00001,   0.00004,   0.00000,   0.00051,   0.00000,   0.99949
   0.02704,   0.97002,   0.00000,   0.00293,   0.00002,   0.68816,   0.00001,   0.31181,   0.00000,   0.99978,   0.00000,   0.00022,   0.00000,   0.00009,   0.00000,   0.99991
   0.00000,   0.99992,   0.00006,   0.00002,   0.00032,   0.00308,   0.04982,   0.94678,   0.00000,   0.75232,   0.24759,   0.00010,   0.00750,   0.15010,   0.08910,   0.75330
   0.41889,   0.58064,   0.00001,   0.00046,   0.00010,   0.00885,   0.00001,   0.99103,   0.00018,   0.99001,   0.00045,   0.00936,   0.00000,   0.02429,   0.00004,   0.97567
   0.00001,   0.44382,   0.51691,   0.03926,   0.00003,   0.02195,   0.02563,   0.95238,   0.00000,   0.25077,   0.74323,   0.00601,   0.04145,   0.03280,   0.89221,   0.03354
   0.78910,   0.20902,   0.00000,   0.00188,   0.00000,   0.94649,   0.00000,   0.05351,   0.00000,   0.99982,   0.00000,   0.00018,   0.00000,   0.00019,   0.00000,   0.99981
   0.00016,   0.08211,   0.67874,   0.23900,   0.00000,   0.97007,   0.00001,   0.02992,   0.00000,   0.99802,   0.00034,   0.00164,   0.00000,   0.07487,   0.04153,   0.88360
   1.00000,   0.00000,   0.00000,   0.00000,   0.00001,   0.74348,   0.00000,   0.25651,   0.00000,   0.99997,   0.00000,   0.00003,   0.00000,   0.00001,   0.00000,   0.99999
